LeafLengthInches,LeafWidthInches,Species
6,4,monstera-adansonii
6.5,4,monstera-adansonii
4,3,monstera-adansonii
2.75,2,monstera-adansonii
5,3,monstera-adansonii
7,5.5,monstera-adansonii
7.75,6.25,monstera-adansonii
4,3,monstera-adansonii
6,3,monstera-adansonii
2.5,3.5,monstera-adansonii
10.5,6,ficus-lyrata
12.75,7,ficus-lyrata
8.5,5,ficus-lyrata
6,3.5,ficus-lyrata
13,9,ficus-lyrata
10.25,7.5,ficus-lyrata
7,4,ficus-lyrata
4,2,ficus-lyrata
8.5,4.75,ficus-lyrata
10.5,7.5,ficus-lyrata
0.5,0.5,ceropegia
1,1.5,ceropegia
1.5,2,ceropegia
0.25,0.5,ceropegia
1,2,ceropegia
1,3,ceropegia
0.5,1,ceropegia
0.25,0.5,ceropegia
0.25,0.25,ceropegia
2,3,ceropegia
